row,item_id,image_path,question,label
23,9f2d1bcbb9ea,/kaggle/working/evid6/images/S0_main_9f2d1bcbb9ea.jpg,What colour is the toilet?,
24,7d10c86bfff4,/kaggle/working/evid6/images/S2_main_7d10c86bfff4.jpg,What is the boat made of?,
25,bd3d0718a694,/kaggle/working/evid6/images/S0_main_bd3d0718a694.jpg,What colour is the pizza?,
26,cccedd0b68d7,/kaggle/working/evid6/images/S4_main_cccedd0b68d7.jpg,What is the person doing?,
27,a43baa8c0afb,/kaggle/working/evid6/images/S0_main_a43baa8c0afb.jpg,What colour is the airplane?,
28,a386b229d4f5,/kaggle/working/evid6/images/S0_main_a386b229d4f5.jpg,What is the microwave made of?,
29,92579c166d78,/kaggle/working/evid6/images/S1_main_92579c166d78.jpg,What colour is the sheep?,
30,013cc86fb12e,/kaggle/working/evid6/images/S4_main_013cc86fb12e.jpg,What is the horse doing?,
31,db9dd2a5f367,/kaggle/working/evid6/images/S1_main_db9dd2a5f367.jpg,What is the chair made of?,
32,f5bfe53f7e16,/kaggle/working/evid6/images/S5_main_f5bfe53f7e16.jpg,What colour is the toilet?,
33,b8c081ae9539,/kaggle/working/evid6/images/S0_main_b8c081ae9539.jpg,What colour is the train?,
34,5b5657d75441,/kaggle/working/evid6/images/S3_main_5b5657d75441.jpg,What is the person doing?,
35,2da97de74a02,/kaggle/working/evid6/images/S3_main_2da97de74a02.jpg,What is the wine glass made of?,
36,61195e91aca1,/kaggle/working/evid6/images/S1_main_61195e91aca1.jpg,What colour is the bicycle?,
37,bfc40ba472da,/kaggle/working/evid6/images/S4_main_bfc40ba472da.jpg,What colour is the person?,
38,c2c21c652a99,/kaggle/working/evid6/images/S0_main_c2c21c652a99.jpg,What colour is the dog?,
39,64113758da87,/kaggle/working/evid6/images/S3_main_64113758da87.jpg,What is the bird doing?,
40,2c1cc78a11a0,/kaggle/working/evid6/images/S4_main_2c1cc78a11a0.jpg,What is the person doing?,
41,7170cc19627a,/kaggle/working/evid6/images/S1_main_7170cc19627a.jpg,What is the toilet made of?,
42,19def9066d10,/kaggle/working/evid6/images/S5_main_19def9066d10.jpg,What is the bird doing?,
43,8fbc3582e49e,/kaggle/working/evid6/images/S2_main_8fbc3582e49e.jpg,What is the bear made of?,
44,eff0a6637ec3,/kaggle/working/evid6/images/S5_main_eff0a6637ec3.jpg,What is the sheep doing?,
45,e131e1a3b4a5,/kaggle/working/evid6/images/S3_main_e131e1a3b4a5.jpg,What is the person doing?,
46,648e2d7bcf2d,/kaggle/working/evid6/images/S2_main_648e2d7bcf2d.jpg,What is the bear made of?,
47,6bb44895279b,/kaggle/working/evid6/images/S5_main_6bb44895279b.jpg,What colour is the wine glass?,
48,cb777a3168b4,/kaggle/working/evid6/images/S5_main_cb777a3168b4.jpg,What colour is the skis?,
49,5dd68751807e,/kaggle/working/evid6/images/S1_main_5dd68751807e.jpg,What colour is the umbrella?,
50,7ed117f8560e,/kaggle/working/evid6/images/S5_main_7ed117f8560e.jpg,What is the hot dog made of?,
51,e918d7e62cae,/kaggle/working/evid6/images/S3_main_e918d7e62cae.jpg,What is the refrigerator made of?,
52,9f157f93e419,/kaggle/working/evid6/images/S3_main_9f157f93e419.jpg,What is the bicycle made of?,
53,898d5e568a9d,/kaggle/working/evid6/images/S3_main_898d5e568a9d.jpg,What is the motorcycle made of?,
54,34637535c4cc,/kaggle/working/evid6/images/S3_main_34637535c4cc.jpg,What is the broccoli made of?,
55,355aa3f85133,/kaggle/working/evid6/images/S2_main_355aa3f85133.jpg,What is the bench made of?,
56,c1d703cfd6b3,/kaggle/working/evid6/images/S3_main_c1d703cfd6b3.jpg,What is the apple made of?,
57,d3e87c237d80,/kaggle/working/evid6/images/S1_main_d3e87c237d80.jpg,What is the remote made of?,
58,99513d6c7fe1,/kaggle/working/evid6/images/S4_main_99513d6c7fe1.jpg,What colour is the person?,
59,1056379fc1ed,/kaggle/working/evid6/images/S1_main_1056379fc1ed.jpg,What colour is the tv?,
60,8e4e029629df,/kaggle/working/evid6/images/S2_main_8e4e029629df.jpg,What colour is the person?,
61,083515705731,/kaggle/working/evid6/images/S0_main_083515705731.jpg,What colour is the elephant?,
62,c32e3db565c8,/kaggle/working/evid6/images/S3_main_c32e3db565c8.jpg,What is the sheep doing?,
63,5e6a518b3582,/kaggle/working/evid6/images/S1_main_5e6a518b3582.jpg,What is the dining table made of?,
64,b2f5866de906,/kaggle/working/evid6/images/S0_main_b2f5866de906.jpg,What colour is the cake?,
65,ae084e78c6c9,/kaggle/working/evid6/images/S1_main_ae084e78c6c9.jpg,What colour is the person?,
66,59e391bc84e2,/kaggle/working/evid6/images/S3_main_59e391bc84e2.jpg,What is the traffic light made of?,
67,5fe1d35c800c,/kaggle/working/evid6/images/S5_main_5fe1d35c800c.jpg,What colour is the horse?,
68,2cfcf644274f,/kaggle/working/evid6/images/S1_main_2cfcf644274f.jpg,What colour is the banana?,
69,c5192c588564,/kaggle/working/evid6/images/S5_main_c5192c588564.jpg,What is the oven made of?,
70,a1d513587050,/kaggle/working/evid6/images/S2_main_a1d513587050.jpg,What is the train made of?,
71,7675043b85e4,/kaggle/working/evid6/images/S4_main_7675043b85e4.jpg,What is the umbrella made of?,
72,aea432967471,/kaggle/working/evid6/images/S3_main_aea432967471.jpg,What is the sink made of?,
73,20296306e630,/kaggle/working/evid6/images/S2_main_20296306e630.jpg,What colour is the cat?,
74,4bd5925583ae,/kaggle/working/evid6/images/S4_main_4bd5925583ae.jpg,What is the person doing?,
75,abd1059dd0c1,/kaggle/working/evid6/images/S4_main_abd1059dd0c1.jpg,What is the person doing?,
76,8103a338c321,/kaggle/working/evid6/images/S0_main_8103a338c321.jpg,What is the motorcycle made of?,
77,d32463687071,/kaggle/working/evid6/images/S3_main_d32463687071.jpg,What colour is the person?,
78,addbc4ceed52,/kaggle/working/evid6/images/S4_main_addbc4ceed52.jpg,What is the person doing?,
79,dcf596a7e950,/kaggle/working/evid6/images/S5_main_dcf596a7e950.jpg,What colour is the laptop?,
80,3cf7993e3568,/kaggle/working/evid6/images/S4_main_3cf7993e3568.jpg,What is the person doing?,
81,e61b79fcfce9,/kaggle/working/evid6/images/S3_main_e61b79fcfce9.jpg,What colour is the sink?,
82,6028a55f7825,/kaggle/working/evid6/images/S2_main_6028a55f7825.jpg,What is the remote made of?,
83,798e17a62b35,/kaggle/working/evid6/images/S0_main_798e17a62b35.jpg,What colour is the cell phone?,
84,4bfdb5197ada,/kaggle/working/evid6/images/S1_main_4bfdb5197ada.jpg,What is the sink made of?,
85,0663f26f55ac,/kaggle/working/evid6/images/S3_main_0663f26f55ac.jpg,What colour is the bicycle?,
86,b256bcb90c7f,/kaggle/working/evid6/images/S1_main_b256bcb90c7f.jpg,What is the elephant doing?,
87,eac5f67862b5,/kaggle/working/evid6/images/S0_main_eac5f67862b5.jpg,What is the cow doing?,
88,3f94b736ecf2,/kaggle/working/evid6/images/S5_main_3f94b736ecf2.jpg,What is the toaster made of?,
89,7513a3d66a0e,/kaggle/working/evid6/images/S5_main_7513a3d66a0e.jpg,What is the person doing?,
90,8f70c58561f2,/kaggle/working/evid6/images/S0_main_8f70c58561f2.jpg,What colour is the book?,
91,f3f7395f970c,/kaggle/working/evid6/images/S1_main_f3f7395f970c.jpg,What is the person doing?,
92,5acf10567164,/kaggle/working/evid6/images/S1_main_5acf10567164.jpg,What is the fire hydrant made of?,
93,b3c41f5eaa2c,/kaggle/working/evid6/images/S2_main_b3c41f5eaa2c.jpg,What is the banana made of?,
94,1e65625486b5,/kaggle/working/evid6/images/S4_main_1e65625486b5.jpg,What is written on the laptop?,
95,f7a3de45cae8,/kaggle/working/evid6/images/S0_main_f7a3de45cae8.jpg,What colour is the person?,
96,08b53419b0d0,/kaggle/working/evid6/images/S5_main_08b53419b0d0.jpg,What is the banana made of?,
97,8e7825f656b5,/kaggle/working/evid6/images/S5_main_8e7825f656b5.jpg,What is the toothbrush made of?,
98,16f8b814e0fa,/kaggle/working/evid6/images/S0_main_16f8b814e0fa.jpg,What colour is the bus?,
99,aef3b0bd02ed,/kaggle/working/evid6/images/S2_main_aef3b0bd02ed.jpg,What colour is the banana?,
